year,population,co2
1900,280714154,11.93
1901,281834058,13.18
1902,283199773,14.515
1903,284812956,14.802
1904,286435299,16.561
1905,288066854,16.931
1906,289707671,19.549
1907,291357804,21.772
1908,293017306,24.908
1909,294397607,24.143
1910,295496971,23.487
1911,296313651,24.782
1912,296845891,28.521
1913,297091925,31.467
1914,297338132,31.698
1915,297584511,33.142
1916,297831063,33.518
1917,298077789,35.02
1918,298421342,39.359
1919,299273541,42.975
1920,300639878,34.868
1921,302525896,37.506
1922,304937193,36.903
1923,307879422,37.972
1924,310850039,40.628
1925,313849318,40.085
1926,316877536,39.943
1927,319934973,41.884
1928,323021910,40.073
1929,326429031,41.708
1930,330163509,42.4
1931,334232641,38.851
1932,338643856,36.13
1933,343404711,35.467
1934,348232496,39.611
1935,353128154,41.393
1936,358092638,40.685
1937,363126915,45.067
1938,368231967,50.38
1939,371781679,49.312
1940,373766276,52.31
1941,374175756,53.581
1942,372999886,53.53
1943,370228201,46.644
1944,367477113,47.696
1945,364746467,52.874
1946,362036112,52.225
1947,359345897,53.18
1948,356675672,53.204
1949,355893489,56.188
1950,357021120,61.103
1951,364922368,64.022
1952,372997184,67.426
1953,381227712,68.705
1954,389731392,72.414
1955,398577984,78.788
1956,407656608,81.656
1957,416935392,91.635
1958,426295776,95.816
1959,435900352,101.447
1960,445954560,111.325
1961,456351872,120.404
1962,467024192,132.582
1963,477933632,142.444
1964,489059296,139.488
1965,500114336,153.702
1966,510992608,159.374
1967,521987072,159.556
1968,533431904,174.07
1969,545314688,177.414
1970,557501312,181.723
1971,569999168,191.964
1972,582837952,203.036
1973,596107456,209.095
1974,609721920,215.853
1975,623524224,234.209
1976,637451456,244.75
1977,651685632,258.962
1978,666267776,263.15
1979,681248384,276.285
1980,696828352,291.711
1981,712869312,314.966
1982,729169472,325.38
1983,745826560,352.199
1984,762895168,361.56
1985,780242112,397.592
1986,797878976,426.31
1987,815716160,455.343
1988,833729664,491.693
1989,852012672,540.651
1990,870452160,577.997
1991,888941760,615.365
1992,907574080,655.448
1993,926351296,677.3
1994,945261952,716.269
1995,964279104,761.449
1996,983281216,825.201
1997,1002335232,858.935
1998,1021434560,876.952
1999,1040500032,950.951
2000,1059633664,978.104
2001,1078970880,991.732
2002,1098313088,1022.175
2003,1117415168,1058.725
2004,1136264576,1124.518
2005,1154638720,1184.927
2006,1172373760,1258.643
2007,1189691776,1356.953
2008,1206734848,1461.518
2009,1223640192,1611.416
2010,1240613632,1676.495
2011,1257621248,1778.473
2012,1274487168,1962.594
2013,1291132032,2037.416
2014,1307246464,2187.343
2015,1322866560,2270.766
2016,1338636288,2383.816
2017,1354195712,2434.868
2018,1369003264,2600.447
2019,1383112064,2626.459
2020,1396387072,2445.012
2021,1407563904,2709.684
